governorate,bank,date,gender,sale_type,count
Al Maharah,KIMB,2025-05-15,male,credit_sales,
Al Maharah,KIMB,2025-05-15,male,first_borrowers_only,
Al Maharah,NMF,2025-05-15,female,cash_sales,0.0
Al Maharah,NMF,2025-05-15,female,credit_sales,0.0
Al Maharah,NMF,2025-05-15,female,first_borrowers_only,0.0
Al Maharah,NMF,2025-05-15,male,cash_sales,0.0
Al Maharah,NMF,2025-05-15,male,credit_sales,0.0
Al Maharah,NMF,2025-05-15,male,first_borrowers_only,0.0
Al Maharah,TIIB,2025-05-15,female,cash_sales,0.0
Al Maharah,TIIB,2025-05-15,female,credit_sales,0.0
Al Maharah,TIIB,2025-05-15,female,first_borrowers_only,0.0
Al Maharah,TIIB,2025-05-15,male,cash_sales,11.0
Al Maharah,TIIB,2025-05-15,male,credit_sales,6.0
Al Maharah,TIIB,2025-05-15,male,first_borrowers_only,0.0
Al Maharah,YKB,2025-05-15,female,cash_sales,0.0
Al Maharah,YKB,2025-05-15,female,credit_sales,0.0
Al Maharah,YKB,2025-05-15,female,first_borrowers_only,0.0
Al Maharah,YKB,2025-05-15,male,cash_sales,0.0
Al Maharah,YKB,2025-05-15,male,credit_sales,0.0
Al Maharah,YKB,2025-05-15,male,first_borrowers_only,0.0
Al Mahwit,AMB,2025-05-15,female,cash_sales,369.0
Al Mahwit,AMB,2025-05-15,female,credit_sales,0.0
Al Mahwit,AMB,2025-05-15,female,first_borrowers_only,0.0
Al Mahwit,AMB,2025-05-15,male,cash_sales,1131.0
Al Mahwit,AMB,2025-05-15,male,credit_sales,0.0
Al Mahwit,AMB,2025-05-15,male,first_borrowers_only,0.0
Al Mahwit,AMP,2025-05-15,female,cash_sales,0.0
Al Mahwit,AMP,2025-05-15,female,credit_sales,0.0
Al Mahwit,AMP,2025-05-15,female,first_borrowers_only,0.0
Al Mahwit,AMP,2025-05-15,male,cash_sales,0.0
Al Mahwit,AMP,2025-05-15,male,credit_sales,0.0
Al Mahwit,AMP,2025-05-15,male,first_borrowers_only,0.0
Al Mahwit,Azal,2025-05-15,female,cash_sales,18.0
Al Mahwit,Azal,2025-05-15,female,credit_sales,0.0
Al Mahwit,Azal,2025-05-15,female,first_borrowers_only,0.0
Al Mahwit,Azal,2025-05-15,male,cash_sales,420.0
Al Mahwit,Azal,2025-05-15,male,credit_sales,0.0
Al Mahwit,Azal,2025-05-15,male,first_borrowers_only,0.0
Al Mahwit,KIMB,2025-05-15,female,cash_sales,86.0
Al Mahwit,KIMB,2025-05-15,female,credit_sales,
Al Mahwit,KIMB,2025-05-15,female,first_borrowers_only,
Al Mahwit,KIMB,2025-05-15,male,cash_sales,195.0
Al Mahwit,KIMB,2025-05-15,male,credit_sales,
Al Mahwit,KIMB,2025-05-15,male,first_borrowers_only,
Al Mahwit,NMF,2025-05-15,female,cash_sales,230.0
Al Mahwit,NMF,2025-05-15,female,credit_sales,0.0
Al Mahwit,NMF,2025-05-15,female,first_borrowers_only,0.0
Al Mahwit,NMF,2025-05-15,male,cash_sales,305.0
Al Mahwit,NMF,2025-05-15,male,credit_sales,0.0
